epoch,seconds,tf_prob,train_attack,train_loss,train_stage,train_state,use_nll,val_attack,val_auprc,val_f1_at_best_tau,val_loss,val_stage,val_state
1,2.99480938911438,1.0,0.4622337425572013,1.7466837742288515,0.4588737304345064,1.055013163408875,False,0.5604705900644134,0.8648483112855314,0.8998527245949927,1.4419546496448254,0.3030384524618411,0.7299648456149955
2,1.5238385200500488,0.9333333333333333,0.18389572070589558,1.129145915037548,0.09047390566355017,0.9000132405085899,False,0.7355805446386656,0.8762166041549134,0.8917290487493152,1.577461339138551,0.3483233519297829,0.667719054815415
3,1.6790127754211426,0.8666666666666667,0.1552890636944497,0.1796349384569402,0.07144742952512924,-0.011377838017499099,True,0.649220575987551,0.8706360444505092,0.8877977814148027,0.5923700643991439,0.2814859243822933,-0.19759345012638507
4,1.5428941249847412,0.8,0.12175661094154294,-0.15257741017214857,0.051058896238269445,-0.299863468149974,True,0.778069505495537,0.8755260410886322,0.8885227896760022,0.6640346069978535,0.30597973978096993,-0.2670248044577711
5,1.5631992816925049,0.7333333333333334,0.0986862109524663,-0.23354499754248345,0.04032397504090753,-0.3523931975929042,True,0.8544438727472975,0.8767627780203838,0.886830894610113,0.7809591111143734,0.35401608822097114,-0.2504927942617746
6,1.6560487747192383,0.6666666666666667,0.09046869097173517,-0.27019748016853495,0.03585170127994836,-0.3785920250616448,True,0.9306554668311994,0.8801871094904095,0.8876591034864417,0.9724131357615063,0.4168322051531574,-0.16665840736757193
7,1.5516703128814697,0.6,0.08010678084464179,-0.29654136365376593,0.032129414921022816,-0.39271285347272267,True,0.9878489073797537,0.881976784735246,0.8860572483841181,0.9772103815860077,0.40360259790969,-0.21243983275309822
8,1.66105318069458,0.5333333333333333,0.06471990274612259,-0.3325020462839864,0.02598807775230609,-0.41021598890252586,True,1.0051222088655092,0.8799352683440254,0.880310306612486,1.0400309107022483,0.42771079801793166,-0.17894668871191705
9,1.7318556308746338,0.4666666666666667,0.05104398794299041,-0.35013773140823207,0.020890914382437415,-0.411627180223442,True,0.979782050271992,0.8907875145534171,0.8833208676140614,0.9655074927927342,0.39982536886226827,-0.21418724164115707
10,1.6865839958190918,0.4,0.03847058206416454,-0.37873688710426984,0.016500350907733583,-0.42545764483043674,True,1.0258626375568975,0.8804603496994878,0.8795734510020224,0.984157257222472,0.41566445127685425,-0.24953761821866582
11,1.6378002166748047,0.33333333333333337,0.03615044332262414,-0.3904444198620501,0.015276618048323767,-0.43423317224304847,True,1.0129035650958573,0.8734273763172212,0.8794378698224851,1.028970840714792,0.42501228125475327,-0.19643892272508162
12,1.80948805809021,0.2666666666666667,0.03200574682474598,-0.4074738745602764,0.013580398394589617,-0.44626982088494105,True,1.0542708875147546,0.873406445067559,0.8746075715604801,1.0568577624024513,0.4610720365450847,-0.22794914548648992
13,1.599639892578125,0.19999999999999996,0.03516609018711826,-0.39385708778770157,0.015078084464969959,-0.4365622189285091,True,1.076884168563614,0.8734927071693522,0.8700198305390301,1.1165101069038532,0.4459645107376374,-0.18335627363067675
14,1.5233776569366455,0.1333333333333333,0.02883044483934833,-0.4144177415012326,0.012363380655465186,-0.44942987602151335,True,1.0792666158638538,0.8819386575141334,0.8696612665684831,1.1314934262637888,0.4484571982951511,-0.172001738697975
15,1.5685653686523438,0.06666666666666665,0.02379338199438464,-0.43643482977331816,0.010296532745897818,-0.46537648088435835,True,1.1197139951274506,0.888998076993232,0.8756088422630198,1.1976643344892295,0.46821124342710185,-0.15615523604485013
